Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2023-11-21 18:24:31;"Evening Workout";"Chin Up (Assisted)";1;20;lbs;5;;;;0;"";"Pull";57m
2023-11-21 18:24:31;"Evening Workout";"Chin Up (Assisted)";2;10;lbs;3;;;;0;;;57m
2023-11-21 18:24:31;"Evening Workout";"Chin Up (Assisted)";3;10;lbs;2;;;;0;;;57m
2023-11-21 18:24:31;"Evening Workout";"Deadlift (Barbell)";1;135;lbs;5;;;;0;"";;57m
2023-11-21 18:24:31;"Evening Workout";"Deadlift (Barbell)";2;225;lbs;3;;;;0;;;57m
2023-11-21 18:24:31;"Evening Workout";"Deadlift (Barbell)";3;255;lbs;3;;;;0;;;57m
2023-11-21 18:24:31;"Evening Workout";"Deadlift (Barbell)";4;255;lbs;2;;;;0;;;57m
2023-11-21 18:24:31;"Evening Workout";"Deadlift (Barbell)";5;255;lbs;3;;;;0;;;57m
2023-11-21 18:24:31;"Evening Workout";"Reverse Fly (Machine)";1;60;lbs;8;;;;0;"";;57m
2023-11-21 18:24:31;"Evening Workout";"Reverse Fly (Machine)";2;70;lbs;8;;;;0;;;57m
2023-11-21 18:24:31;"Evening Workout";"Reverse Fly (Machine)";3;75;lbs;6;;;;0;;;57m
2023-11-21 18:24:31;"Evening Workout";"farmer carry";1;124;lbs;60;;;;0;"";;57m
2023-11-21 18:24:31;"Evening Workout";"farmer carry";2;124;lbs;49;;;;0;;;57m
2023-11-21 18:24:31;"Evening Workout";"farmer carry";3;124;lbs;32;;;;0;;;57m
2023-11-24 15:44:42;"Afternoon Workout";"Bench Press (Barbell)";1;95;lbs;5;;;;0;"";"";1h 8m
2023-11-24 15:44:42;"Afternoon Workout";"Bench Press (Barbell)";2;135;lbs;5;;;;0;;;1h 8m
2023-11-24 15:44:42;"Afternoon Workout";"Bench Press (Barbell)";3;145;lbs;5;;;;0;;;1h 8m
2023-11-24 15:44:42;"Afternoon Workout";"Bench Press (Barbell)";4;145;lbs;4;;;;0;;;1h 8m
2023-11-24 15:44:42;"Afternoon Workout";"Bench Press (Barbell)";5;145;lbs;3;;;;0;;;1h 8m
2023-11-24 15:44:42;"Afternoon Workout";"Overhead Press (Barbell)";1;85;lbs;5;;;;0;"";;1h 8m
